Ticker,Name,Exchange,exchangeDisplay,Type,TypeDisplay
ZEA,ZEA,ZEA,ZEA,ZEA,ZEA
CIE,CIE,CIE,CIE,CIE,CIE
EQE,EQE,EQE,EQE,EQE,EQE
HEE,HEE,HEE,HEE,HEE,HEE
MEE,MEE,MEE,MEE,MEE,MEE
TEC,TEC,TEC,TEC,TEC,TEC
ONEQ,ONEQ,ONEQ,ONEQ,ONEQ,ONEQ
ZEM,ZEM,ZEM,ZEM,ZEM,ZEM
VE,VE,VE,VE,VE,VE
XEI,XEI,XEI,XEI,XEI,XEI
VEF,VEF,VEF,VEF,VEF,VEF
ZEQ,ZEQ,ZEQ,ZEQ,ZEQ,ZEQ
ZUE,ZUE,ZUE,ZUE,ZUE,ZUE
HEWB,HEWB,HEWB,HEWB,HEWB,HEWB
XEH,XEH,XEH,XEH,XEH,XEH
QEF,QEF,QEF,QEF,QEF,QEF
EQEf,EQEf,EQEf,EQEf,EQEf,EQEf
HEX,HEX,HEX,HEX,HEX,HEX
XEU,XEU,XEU,XEU,XEU,XEU
XEM,XEM,XEM,XEM,XEM,XEM
REM,REM,REM,REM,REM,REM
FBE,FBE,FBE,FBE,FBE,FBE
RUE,RUE,RUE,RUE,RUE,RUE
HEA,HEA,HEA,HEA,HEA,HEA
XSE,XSE,XSE,XSE,XSE,XSE
HDGE,HDGE,HDGE,HDGE,HDGE,HDGE
ELV,ELV,ELV,ELV,ELV,ELV
HEJ,HEJ,HEJ,HEJ,HEJ,HEJ
TGED,TGED,TGED,TGED,TGED,TGED
XEN,XEN,XEN,XEN,XEN,XEN
BASEb,BASEb,BASEb,BASEb,BASEb,BASEb
HXE,HXE,HXE,HXE,HXE,HXE
SEED,SEED,SEED,SEED,SEED,SEED
XSEA,XSEA,XSEA,XSEA,XSEA,XSEA
CED,CED,CED,CED,CED,CED
EHE,EHE,EHE,EHE,EHE,EHE
HCRE,HCRE,HCRE,HCRE,HCRE,HCRE
XESG,XESG,XESG,XESG,XESG,XESG
XEB,XEB,XEB,XEB,XEB,XEB
LIFE,LIFE,LIFE,LIFE,LIFE,LIFE
QIE,QIE,QIE,QIE,QIE,QIE
TPE,TPE,TPE,TPE,TPE,TPE
EUR,EUR,EUR,EUR,EUR,EUR
HERO,HERO,HERO,HERO,HERO,HERO
FLEM,FLEM,FLEM,FLEM,FLEM,FLEM
EAAIu,EAAIu,EAAIu,EAAIu,EAAIu,EAAIu
EAGBu,EAGBu,EAGBu,EAGBu,EAGBu,EAGBu
PFAE,PFAE,PFAE,PFAE,PFAE,PFAE
XEQT,XEQT,XEQT,XEQT,XEQT,XEQT
EAAI,EAAI,EAAI,EAAI,EAAI,EAAI
BASE,BASE,BASE,BASE,BASE,BASE
EAGB,EAGB,EAGB,EAGB,EAGB,EAGB
EAFTu,EAFTu,EAFTu,EAFTu,EAFTu,EAFTu
SBEA,SBEA,SBEA,SBEA,SBEA,SBEA
EAUTu,EAUTu,EAUTu,EAUTu,EAUTu,EAUTu
EAFT,EAFT,EAFT,EAFT,EAFT,EAFT
EAUT,EAUT,EAUT,EAUT,EAUT,EAUT
EARKu,EARKu,EARKu,EARKu,EARKu,EARKu
RDE,RDE,RDE,RDE,RDE,RDE
CESu,CESu,CESu,CESu,CESu,CESu
CESG,CESG,CESG,CESG,CESG,CESG
EARK,EARK,EARK,EARK,EARK,EARK
QEM,QEM,QEM,QEM,QEM,QEM
RCE,RCE,RCE,RCE,RCE,RCE
ETPa,ETPa,ETPa,ETPa,ETPa,ETPa
ETP,ETP,ETP,ETP,ETP,ETP
PEU,PEU,PEU,PEU,PEU,PEU
PHE,PHE,PHE,PHE,PHE,PHE
PHEb,PHEb,PHEb,PHEb,PHEb,PHEb
FHE,FHE,FHE,FHE,FHE,FHE
HEF,HEF,HEF,HEF,HEF,HEF
HEW,HEW,HEW,HEW,HEW,HEW
HEAu,HEAu,HEAu,HEAu,HEAu,HEAu
CESb,CESb,CESb,CESb,CESb,CESb
CES,CES,CES,CES,CES,CES
RWE,RWE,RWE,RWE,RWE,RWE
RWEb,RWEb,RWEb,RWEb,RWEb,RWEb
FDE,FDE,FDE,FDE,FDE,FDE
EURa,EURa,EURa,EURa,EURa,EURa
RIE,RIE,RIE,RIE,RIE,RIE
QCE,QCE,QCE,QCE,QCE,QCE
HRES,HRES,HRES,HRES,HRES,HRES
EDGE,EDGE,EDGE,EDGE,EDGE,EDGE
CMCE,CMCE,CMCE,CMCE,CMCE,CMCE
DRFE,DRFE,DRFE,DRFE,DRFE,DRFE
XSEM,XSEM,XSEM,XSEM,XSEM,XSEM
RIEH,RIEH,RIEH,RIEH,RIEH,RIEH
RXE,RXE,RXE,RXE,RXE,RXE
RUEH,RUEH,RUEH,RUEH,RUEH,RUEH
RLE,RLE,RLE,RLE,RLE,RLE
ZLE,ZLE,ZLE,ZLE,ZLE,ZLE
MEU,MEU,MEU,MEU,MEU,MEU
VEH,VEH,VEH,VEH,VEH,VEH
THE,THE,THE,THE,THE,THE
ZEUS,ZEUS,ZEUS,ZEUS,ZEUS,ZEUS
CESGb,CESGb,CESGb,CESGb,CESGb,CESGb
HCOLSEL,HCOLSEL,HCOLSEL,HCOLSEL,HCOLSEL,HCOLSEL
DKIEUIX,DKIEUIX,DKIEUIX,DKIEUIX,DKIEUIX,DKIEUIX
BAIEMOBA,BAIEMOBA,BAIEMOBA,BAIEMOBA,BAIEMOBA,BAIEMOBA
SPIEUGKL,SPIEUGKL,SPIEUGKL,SPIEUGKL,SPIEUGKL,SPIEUGKL
ALIEUA,ALIEUA,ALIEUA,ALIEUA,ALIEUA,ALIEUA
JYIEUAKL,JYIEUAKL,JYIEUAKL,JYIEUAKL,JYIEUAKL,JYIEUAKL
HAIVER,HAIVER,HAIVER,HAIVER,HAIVER,HAIVER
SPIEUCKL,SPIEUCKL,SPIEUCKL,SPIEUCKL,SPIEUCKL,SPIEUCKL
